generation,best,avg,worst
533,14308,15069,17919
534,14290,15094,17960
535,14272,14999,17267
536,14240,15000,17095
537,14277,15005,17312
538,14274,14997,17418
539,14269,15048,17995
540,14269,15113,18046
541,14293,15059,18015
542,14314,15018,17576
543,14299,14988,17389
544,14306,15105,18073
545,14314,15031,17104
546,14302,15154,17568
547,14294,15098,17995
548,14300,15072,17328
549,14295,15036,17335
550,14287,15089,17351
551,14307,15134,17281
552,14289,15145,18055
553,14249,14997,17218
554,14233,14903,16965
555,14249,14989,17341
556,14280,14987,17079
557,14231,15179,18091
558,14266,14981,16989
559,14265,15043,17535
560,14234,15033,17320
561,14224,15112,18218
562,14234,14944,17971
563,14236,15059,17375
564,14234,14998,17264
565,14257,15103,17779
566,14234,15066,17950
567,14224,15035,17296
568,14282,15035,17333
569,14224,14995,17237
570,14224,15004,17316
571,14248,15060,18092
572,14255,14950,16883
573,14234,14979,17469
574,14234,14991,16873
575,14231,14921,16852
576,14224,14898,17778
577,14259,14937,17111
578,14266,14902,17354
579,14216,15064,17975
580,14243,14991,16554
581,14224,14941,17003
582,14289,15084,16927
583,14243,15069,16949
584,14258,15044,17289
585,14233,14977,17768
586,14230,14971,17363
587,14243,15061,17457
588,14244,14982,17760
589,14237,15054,17405
590,14294,15010,17806
591,14316,14987,17292
592,14329,14989,17327
593,14250,15116,18120
594,14328,15117,18026
595,14294,15106,17357
596,14264,15138,18031
597,14302,15156,17390
598,14287,15049,17329
599,14303,15095,18140
600,14279,15149,17294
601,14341,15118,18498
602,14347,15172,17493
603,14338,14975,16606
604,14365,15028,18111
605,14296,15031,17501
606,14345,15075,17388
607,14353,15094,18036
608,14328,15102,17346
609,14275,15087,17894
610,14267,15024,16607
611,14326,15049,17167
612,14244,15134,18082
613,14286,15101,17940
614,14264,15094,17747
615,14271,15059,16953
616,14303,15071,17946
617,14263,14998,16910
618,14295,15057,17281
619,14294,15048,17819
620,14250,14997,17290
621,14229,15008,17189
622,14229,15015,17796
623,14252,15054,17050
624,14282,15154,17916
625,14307,15079,17878
626,14297,15053,17404
627,14335,15096,17448
628,14373,15097,17950
629,14318,15085,17423
630,14329,15054,17159
631,14338,15095,16824
632,14344,15084,16742
633,14316,15090,16943
634,14302,15115,17218
635,14295,15162,18200
636,14283,15154,17459
637,14323,15146,18201
638,14291,15161,17287
639,14299,15150,18167
640,14299,15176,17733
641,14266,15092,17894
642,14260,15112,17262
643,14321,15085,17618
644,14308,15144,18000
645,14311,15092,18025
646,14311,15173,18051
647,14361,15116,17570
648,14309,15149,18080
649,14294,15011,17317
650,14298,15010,17287
651,14245,14981,18197
652,14324,15012,17305
653,14328,15197,18113
654,14297,15038,17251
655,14327,15217,17347
656,14297,15079,16779
657,14306,15010,17283
658,14254,15145,18044
659,14242,15022,17442
660,14265,15041,17501
661,14242,15134,17399
662,14273,15128,17675
663,14252,15001,17683
664,14252,14973,16882
665,14286,15011,17957
666,14257,15075,17376
667,14299,15189,17971
668,14293,15082,18142
669,14369,15123,17781
670,14269,15109,17353
671,14279,15062,17588
672,14289,15070,17013
673,14273,15114,17839
674,14273,14981,17301
675,14269,15016,17484
676,14300,15221,18097
677,14259,15034,18031
678,14316,15200,17460
679,14264,15114,18000
680,14291,15067,18102
681,14316,15107,16868
682,14310,15127,18070
683,14313,15114,17583
684,14356,15107,17779
685,14297,15057,17270
686,14302,15077,17121
687,14297,15014,17378
688,14359,15104,17518
689,14345,15217,17513
690,14310,15103,17541
691,14244,15130,17470
692,14311,15039,17508
693,14279,15118,18036
694,14264,15062,17127
695,14290,14951,17229
696,14262,14981,16912
697,14291,14992,17252
698,14279,15130,17381
699,14289,14992,17314
700,14209,15050,17982
701,14237,15037,17318
702,14233,15170,17222
703,14226,14993,16791
704,14226,15041,16631
705,14250,15072,18111
706,14288,14968,16841
707,14312,15042,17319
708,14280,15135,17465
709,14288,15118,18225
710,14255,14985,17359
711,14264,15128,17933
712,14266,15162,17427
713,14302,15051,17931
714,14242,15193,18005
715,14217,15047,17335
716,14226,14958,17861
717,14251,14916,17269
718,14290,14968,17339
719,14242,15141,17426
720,14261,15065,16882
721,14217,15096,17007
722,14259,15064,17331
723,14321,15038,17298
724,14237,15070,18029
725,14217,14982,16435
726,14226,14943,17051
727,14255,15041,17905
728,14279,15088,17415
729,14256,14994,17014
730,14291,15110,17256
731,14254,15005,17393
732,14255,15010,17748
733,14279,15045,17134
734,14257,15040,18057
735,14264,15087,17981
736,14321,15079,17377
737,14285,15072,17395
738,14305,14979,17555
739,14298,14965,17285
740,14275,15119,18047
741,14241,15093,17774
742,14255,15082,17952
743,14241,15109,17541
744,14291,14950,17442
745,14306,15154,17327
746,14304,15103,17762
747,14284,15035,16980
748,14227,15144,17996
749,14268,15059,16616
750,14284,15047,17860
751,14269,15050,17482
752,14271,15086,17967
753,14269,14996,17989
754,14246,15062,17470
755,14249,15126,17991
756,14297,14974,17012
757,14255,15086,17165
758,14281,15052,17173
759,14248,15003,16544
760,14255,15001,17718
761,14248,15122,17997
762,14284,15016,17402
763,14265,15099,17948
764,14224,15036,17542
765,14281,15060,17696
766,14266,14996,16629
767,14311,15091,17793
768,14325,15008,17979
769,14311,15096,17440
770,14317,15001,17054
771,14297,15123,18043
772,14242,14881,16836
773,14280,14982,17879
774,14305,15121,17879
775,14287,15164,18126
776,14244,14968,16966
777,14258,15015,17052
778,14239,15063,18115
779,14276,15021,17286
780,14284,15068,17194
781,14253,15023,17303
782,14270,15102,17028
783,14302,15070,17156
784,14229,15147,17926
785,14282,15106,17818
786,14287,15175,17554
787,14229,15051,18017
788,14267,14976,16603
789,14285,15236,18169
790,14303,15090,17845
791,14303,14990,16644
792,14319,15105,17394
793,14284,15052,18092
794,14269,15080,17982
795,14309,15011,17798
796,14284,15103,17456
797,14280,15105,16584
798,14298,15083,17156
799,14279,15091,17361
800,14270,15001,17984
801,14244,14950,17130
802,14245,15083,18046
803,14244,15101,18037
804,14250,15021,17911
805,14236,15081,18064
806,14259,15164,17291
807,14259,15078,17530
808,14236,15063,18040
809,14205,14879,17399
810,14222,14932,17452
811,14270,15073,18073
812,14263,14981,18028
813,14289,15075,17871
814,14267,15118,17442
815,14307,15140,18109
816,14247,15151,17343
817,14249,15075,16927
818,14242,14998,16868
819,14244,15042,18126
820,14264,15182,17578
821,14242,15050,17999
822,14273,15079,17301
823,14265,15108,17979
824,14273,15007,18018
825,14291,15020,17428
826,14331,15171,18031
827,14308,15086,17045
828,14327,15289,18339
829,14317,15010,18045
830,14294,15073,17206
831,14233,15207,17982
832,14240,15002,17442
833,14291,14968,17368
834,14325,15074,17373
835,14260,15014,16943
836,14230,15049,17509
837,14211,15108,17975
838,14239,15068,16837
839,14231,15002,17072
840,14211,15015,17153
841,14270,15021,16668
842,14231,15076,18063
843,14244,15019,17403
844,14242,15030,18115
845,14239,15015,17964
846,14290,14995,17479
847,14228,14955,17452
848,14261,15078,17380
849,14304,15183,17456
850,14311,15169,17485
851,14323,15160,17219
852,14315,14964,17708
853,14252,15037,17599
854,14298,14961,17941
855,14272,14972,17989
856,14282,15062,17668
857,14272,15191,18086
858,14326,15142,18022
859,14242,15197,17968
860,14269,15061,17428
861,14302,15137,17406
862,14285,15047,17387
863,14276,15124,18042
864,14257,15049,17505
865,14319,15109,17529
866,14315,15128,18074
867,14284,15101,18065
868,14341,15112,18151
869,14333,15105,17435
870,14315,15134,17447
871,14296,15108,17500
872,14277,15133,16831
873,14289,15100,18098
874,14300,15058,17113
875,14287,15195,17432
876,14268,15033,17374
877,14256,15168,18154
878,14265,15053,17374
879,14276,15028,18052
880,14268,15102,17579
881,14273,14994,17048
882,14292,15047,17058
883,14281,15002,18032
884,14317,15015,16887
885,14280,15117,18091
886,14280,15158,18014
887,14291,14984,17219
888,14280,15154,18086
889,14265,15001,17303
890,14250,15155,17303
891,14244,14991,17485
892,14262,15149,17992
893,14287,14999,16669
894,14291,15109,17978
895,14241,15078,17416
896,14248,15124,17909
897,14285,15050,17377
898,14270,15090,17869
899,14215,14984,17419
900,14247,15085,18031
901,14250,15008,17484
902,14258,14955,17750
903,14250,15119,17400
904,14301,15123,18036
905,14256,15094,17336
906,14279,15163,17338
907,14231,15108,17789
908,14278,15126,18007
909,14259,14940,17940
910,14244,14964,18057
911,14267,15084,17508
912,14215,15079,17961
913,14253,15180,18083
914,14215,15037,18077
915,14259,15041,18080
916,14217,14938,18177
917,14251,14871,17975
918,14231,15129,18320
919,14261,15182,18088
920,14231,14907,17445
921,14245,15097,18074
922,14231,14943,17573
923,14255,15024,18074
924,14268,15070,18119
925,14261,15032,17050
926,14261,14970,17578
927,14320,14977,16700
928,14303,15147,18156
929,14296,15204,17360
930,14252,15082,17462
931,14240,15160,18056
932,14277,15109,18094
933,14229,15027,16528
934,14261,15152,18119
935,14268,15163,17968
936,14249,15059,17112
937,14233,15097,17970
938,14227,14972,16650
939,14253,15054,17229
940,14223,14972,17418
941,14240,15074,17817
942,14227,15055,17440
943,14240,15032,17167
944,14254,15116,17359
945,14285,15082,17965
946,14274,15008,17435
947,14274,15113,17244
948,14291,15117,17298
949,14325,15265,17580
950,14300,14912,16749
951,14269,15146,17121
952,14277,15036,17593
953,14310,15015,17134
954,14273,14982,17080
955,14245,15128,17916
956,14252,15054,17416
957,14230,14968,17087
958,14205,15050,18259
959,14240,15114,17126
960,14245,14998,17343
961,14285,15083,16825
962,14272,15153,17995
963,14274,15129,17334
964,14271,15142,18025
965,14271,15034,17251
966,14234,15130,17982
967,14279,15087,17280
968,14261,15030,17427
969,14231,15003,17859
970,14294,15195,18047
971,14264,15067,17930
972,14236,15028,17450
973,14234,15058,18018
974,14231,15130,17439
975,14262,14951,16974
976,14271,14926,16451
977,14231,14972,17928
978,14223,14882,16659
979,14217,15106,17480
980,14237,15105,17243
981,14273,15052,17363
982,14230,15072,17405
983,14223,15019,17319
984,14281,15003,17353
985,14287,15095,18042
986,14330,15098,17357
987,14310,15116,17092
988,14348,15113,17327
989,14301,15068,17136
990,14355,15180,17983
991,14306,15050,17966
992,14292,15089,18162
993,14292,14961,16426
994,14240,15079,17062
995,14269,15164,17954
996,14254,14991,17275
997,14251,15019,17516
998,14271,15095,17492
999,14314,15061,18032
